Ticket_ID,Creation_Date,Status,Priority,Category,Assignee,User_Department,Description
101,2025-09-05,Closed,Low,Account,Alice,HR,"User forgot password and was locked out. Reset via phone."
102,2025-09-08,Closed,Medium,Software,Bob,Marketing,"Request to install Adobe Photoshop on new marketing laptop. License approved."
103,2025-09-12,Open,High,Network,Carol,Engineering,"VPN access is failing for multiple users in the engineering department. Error code 789. Unable to access critical servers."
104,2025-09-15,Closed,Low,Hardware,David,Faculty,"Professor's monitor is flickering. Replaced the VGA cable."
105,2025-09-20,Closed,Medium,Software,Alice,Sales,"Salesforce plugin for Outlook is crashing. Reinstalled the plugin and cleared cache."
106,2025-09-22,Open,Medium,Software,Bob,HR,"Cannot access the new HR portal after the update. Getting a permissions error."
107,2025-09-27,Closed,Low,Account,Carol,Marketing,"User needs access to the shared marketing drive. Permissions granted."
108,2025-10-02,Open,Critical,Network,David,Engineering,"The primary DNS server is unresponsive. Multiple internal applications are inaccessible. This is affecting a critical project deadline."
109,2025-10-04,Closed,Medium,Hardware,Alice,Sales,"New sales team member needs a laptop provisioned. Standard setup completed."
110,2025-10-07,In Progress,High,Network,Bob,Faculty,"Reports of extremely slow Wi-Fi speeds across the entire 3rd floor of the science building. Investigating potential rogue access point."
111,2025-10-10,Open,Low,Software,Carol,Marketing,"Requesting a license for Canva Pro for the social media team."
112,2025-10-15,Closed,Low,Account,David,Engineering,"Password reset required for Git repository access."
113,2025-10-18,Open,High,Hardware,Alice,Faculty,"The main projector in lecture hall B is not turning on. Class is in one hour."
114,2025-10-21,Open,Medium,Software,Bob,HR,"User is unable to print from their new laptop to the HR department printer. Driver issue suspected."
115,2025-10-24,Closed,Low,Account,Carol,Sales,"Account locked due to too many failed login attempts. Unlocked."
116,2025-10-28,Open,High,Software,David,Engineering,"MATLAB simulation is crashing with a memory allocation error on a high-performance workstation. Need to investigate system logs."
117,2025-11-02,Open,Low,Hardware,Alice,Marketing,"User reports that their laptop battery is draining much faster than usual."
118,2025-11-05,Closed,Medium,Account,Bob,Faculty,"Faculty member needs email forwarding set up for their sabbatical."
119,2025-11-08,Open,Medium,Network,Carol,Sales,"A user in the sales department is unable to connect to the corporate Wi-Fi. Their device is not picking up the SSID."
120,2025-11-12,Closed,Low,Software,David,HR,"Clarification needed on using the new time-tracking software. Sent user the link to the knowledge base article."
121,2025-11-14,Open,Critical,Network,Alice,Faculty,"Campus-wide outage of the authentication server. No one can log into any university systems. All hands on deck."
122,2025-11-17,Open,Low,Hardware,Bob,Marketing,"Request for an ergonomic mouse and keyboard for a user with wrist pain."
